Site Name ,OUTSIDE2211
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4608


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

423,22/11/2018 , 17:03:00,168,168
424,22/11/2018 , 17:04:00,171,171
425,22/11/2018 , 17:05:00,177,177
426,22/11/2018 , 17:06:00,175,175
427,22/11/2018 , 17:07:00,186,186
428,22/11/2018 , 17:08:00,190,190
429,22/11/2018 , 17:09:00,179,179
430,22/11/2018 , 17:10:00,176,176
431,22/11/2018 , 17:11:00,191,191
432,22/11/2018 , 17:12:00,186,186
433,22/11/2018 , 17:13:00,185,185
434,22/11/2018 , 17:14:00,188,188
435,22/11/2018 , 17:15:00,174,174
436,22/11/2018 , 17:16:00,162,162
437,22/11/2018 , 17:17:00,154,154
438,22/11/2018 , 17:18:00,148,148
439,22/11/2018 , 17:19:00,151,151
440,22/11/2018 , 17:20:00,181,181
441,22/11/2018 , 17:21:00,189,189
442,22/11/2018 , 17:22:00,169,169
443,22/11/2018 , 17:23:00,149,149
444,22/11/2018 , 17:24:00,134,134
445,22/11/2018 , 17:25:00,124,124
446,22/11/2018 , 17:26:00,119,119
447,22/11/2018 , 17:27:00,112,112
448,22/11/2018 , 17:28:00,112,112
449,22/11/2018 , 17:29:00,125,125
450,22/11/2018 , 17:30:00,124,124
451,22/11/2018 , 17:31:00,123,123
452,22/11/2018 , 17:32:00,114,114
453,22/11/2018 , 17:33:00,98,98
454,22/11/2018 , 17:34:00,87,87
455,22/11/2018 , 17:35:00,78,78
456,22/11/2018 , 17:36:00,73,73
457,22/11/2018 , 17:37:00,73,73
458,22/11/2018 , 17:38:00,76,76
459,22/11/2018 , 17:39:00,77,77
460,22/11/2018 , 17:40:00,76,76
461,22/11/2018 , 17:41:00,70,70
462,22/11/2018 , 17:42:00,69,69
463,22/11/2018 , 17:43:00,67,67
464,22/11/2018 , 17:44:00,61,61
465,22/11/2018 , 17:45:00,55,55
466,22/11/2018 , 17:46:00,52,52
467,22/11/2018 , 17:47:00,49,49
468,22/11/2018 , 17:48:00,47,47
469,22/11/2018 , 17:49:00,44,44
470,22/11/2018 , 17:50:00,40,40
471,22/11/2018 , 17:51:00,38,38
472,22/11/2018 , 17:52:00,37,37
473,22/11/2018 , 17:53:00,34,34
474,22/11/2018 , 17:54:00,32,32
475,22/11/2018 , 17:55:00,28,28
476,22/11/2018 , 17:56:00,27,27
477,22/11/2018 , 17:57:00,25,25
478,22/11/2018 , 17:58:00,22,22
479,22/11/2018 , 17:59:00,21,21
480,22/11/2018 , 18:00:00,19,19
481,22/11/2018 , 18:01:00,17,17
482,22/11/2018 , 18:02:00,15,15
483,22/11/2018 , 18:03:00,13,13
484,22/11/2018 , 18:04:00,12,12
485,22/11/2018 , 18:05:00,10,10
486,22/11/2018 , 18:06:00,9,9
487,22/11/2018 , 18:07:00,8,8
488,22/11/2018 , 18:08:00,7,7
489,22/11/2018 , 18:09:00,6,6
490,22/11/2018 , 18:10:00,6,6
491,22/11/2018 , 18:11:00,4,4
492,22/11/2018 , 18:12:00,5,5
493,22/11/2018 , 18:13:00,3,3
494,22/11/2018 , 18:14:00,3,3
495,22/11/2018 , 18:15:00,3,3
496,22/11/2018 , 18:16:00,2,2
497,22/11/2018 , 18:17:00,2,2
498,22/11/2018 , 18:18:00,1,1
499,22/11/2018 , 18:19:00,1,1
500,22/11/2018 , 18:20:00,1,1
501,22/11/2018 , 18:21:00,0,0
502,22/11/2018 , 18:22:00,0,0
503,22/11/2018 , 18:23:00,1,1
504,22/11/2018 , 18:24:00,0,0
505,22/11/2018 , 18:25:00,0,0
506,22/11/2018 , 18:26:00,0,0
507,22/11/2018 , 18:27:00,0,0
508,22/11/2018 , 18:28:00,0,0
509,22/11/2018 , 18:29:00,0,0
510,22/11/2018 , 18:30:00,0,0
511,22/11/2018 , 18:31:00,0,0
512,22/11/2018 , 18:32:00,0,0
513,22/11/2018 , 18:33:00,0,0
514,22/11/2018 , 18:34:00,0,0
515,22/11/2018 , 18:35:00,0,0
516,22/11/2018 , 18:36:00,0,0
