Site Name ,EXPERIMENT
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4607


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

302,27/11/2018 , 14:02:00,435,435
303,27/11/2018 , 14:03:00,400,400
304,27/11/2018 , 14:04:00,462,462
305,27/11/2018 , 14:05:00,447,447
306,27/11/2018 , 14:06:00,470,470
307,27/11/2018 , 14:07:00,419,419
308,27/11/2018 , 14:08:00,424,424
309,27/11/2018 , 14:09:00,532,532
310,27/11/2018 , 14:10:00,777,777
311,27/11/2018 , 14:11:00,772,772
312,27/11/2018 , 14:12:00,607,607
313,27/11/2018 , 14:13:00,684,684
314,27/11/2018 , 14:14:00,653,653
315,27/11/2018 , 14:15:00,628,628
316,27/11/2018 , 14:16:00,630,630
317,27/11/2018 , 14:17:00,655,655
318,27/11/2018 , 14:18:00,830,830
319,27/11/2018 , 14:19:00,773,773
320,27/11/2018 , 14:20:00,791,791
321,27/11/2018 , 14:21:00,805,805
322,27/11/2018 , 14:22:00,829,829
323,27/11/2018 , 14:23:00,799,799
324,27/11/2018 , 14:24:00,371,371
325,27/11/2018 , 14:25:00,364,364
326,27/11/2018 , 14:26:00,298,298
327,27/11/2018 , 14:27:00,430,430
328,27/11/2018 , 14:28:00,856,856
329,27/11/2018 , 14:29:00,430,430
330,27/11/2018 , 14:30:00,255,255
331,27/11/2018 , 14:31:00,422,422
332,27/11/2018 , 14:32:00,356,356
333,27/11/2018 , 14:33:00,380,380
334,27/11/2018 , 14:34:00,399,399
335,27/11/2018 , 14:35:00,193,193
336,27/11/2018 , 14:36:00,157,157
337,27/11/2018 , 14:37:00,178,178
338,27/11/2018 , 14:38:00,216,216
339,27/11/2018 , 14:39:00,384,384
340,27/11/2018 , 14:40:00,330,330
341,27/11/2018 , 14:41:00,195,195
342,27/11/2018 , 14:42:00,206,206
343,27/11/2018 , 14:43:00,213,213
344,27/11/2018 , 14:44:00,268,268
345,27/11/2018 , 14:45:00,332,332
346,27/11/2018 , 14:46:00,390,390
347,27/11/2018 , 14:47:00,500,500
348,27/11/2018 , 14:48:00,586,586
349,27/11/2018 , 14:49:00,478,478
350,27/11/2018 , 14:50:00,732,732
351,27/11/2018 , 14:51:00,529,529
352,27/11/2018 , 14:52:00,196,196
353,27/11/2018 , 14:53:00,136,136
354,27/11/2018 , 14:54:00,115,115
355,27/11/2018 , 14:55:00,181,181
356,27/11/2018 , 14:56:00,385,385
357,27/11/2018 , 14:57:00,600,600
358,27/11/2018 , 14:58:00,377,377
359,27/11/2018 , 14:59:00,284,284
360,27/11/2018 , 15:00:00,218,218
361,27/11/2018 , 15:01:00,243,243
362,27/11/2018 , 15:02:00,210,210
363,27/11/2018 , 15:03:00,181,181
364,27/11/2018 , 15:04:00,138,138
365,27/11/2018 , 15:05:00,119,119
366,27/11/2018 , 15:06:00,122,122
367,27/11/2018 , 15:07:00,127,127
368,27/11/2018 , 15:08:00,209,209
369,27/11/2018 , 15:09:00,143,143
370,27/11/2018 , 15:10:00,142,142
371,27/11/2018 , 15:11:00,154,154
372,27/11/2018 , 15:12:00,185,185
373,27/11/2018 , 15:13:00,212,212
374,27/11/2018 , 15:14:00,393,393
375,27/11/2018 , 15:15:00,535,535
376,27/11/2018 , 15:16:00,166,166
377,27/11/2018 , 15:17:00,437,437
378,27/11/2018 , 15:18:00,387,387
379,27/11/2018 , 15:19:00,525,525
380,27/11/2018 , 15:20:00,522,522
381,27/11/2018 , 15:21:00,510,510
382,27/11/2018 , 15:22:00,508,508
383,27/11/2018 , 15:23:00,510,510
384,27/11/2018 , 15:24:00,525,525
385,27/11/2018 , 15:25:00,528,528
386,27/11/2018 , 15:26:00,500,500
387,27/11/2018 , 15:27:00,489,489
388,27/11/2018 , 15:28:00,471,471
389,27/11/2018 , 15:29:00,486,486
390,27/11/2018 , 15:30:00,501,501
391,27/11/2018 , 15:31:00,504,504
392,27/11/2018 , 15:32:00,510,510
393,27/11/2018 , 15:33:00,505,505
394,27/11/2018 , 15:34:00,390,390
395,27/11/2018 , 15:35:00,217,217
396,27/11/2018 , 15:36:00,210,210
397,27/11/2018 , 15:37:00,217,217
398,27/11/2018 , 15:38:00,196,196
399,27/11/2018 , 15:39:00,327,327
400,27/11/2018 , 15:40:00,441,441
401,27/11/2018 , 15:41:00,220,220
402,27/11/2018 , 15:42:00,412,412
403,27/11/2018 , 15:43:00,164,164
404,27/11/2018 , 15:44:00,118,118
405,27/11/2018 , 15:45:00,117,117
406,27/11/2018 , 15:46:00,119,119
407,27/11/2018 , 15:47:00,117,117
408,27/11/2018 , 15:48:00,120,120
409,27/11/2018 , 15:49:00,132,132
410,27/11/2018 , 15:50:00,153,153
411,27/11/2018 , 15:51:00,193,193
412,27/11/2018 , 15:52:00,351,351
413,27/11/2018 , 15:53:00,400,400
414,27/11/2018 , 15:54:00,229,229
415,27/11/2018 , 15:55:00,408,408
416,27/11/2018 , 15:56:00,391,391
417,27/11/2018 , 15:57:00,274,274
418,27/11/2018 , 15:58:00,230,230
419,27/11/2018 , 15:59:00,254,254
420,27/11/2018 , 16:00:00,189,189
421,27/11/2018 , 16:01:00,277,277
422,27/11/2018 , 16:02:00,382,382
