Sample_ID,Analysis_Type,Year,Month,Day,Time,Time_Point,Exp_Sample_Type,Treatment_ratio,Replicate,Bottle_Nr,Notes,MCSMAC,Filename,"Keyword: SAMPLE ID for Plot #3, overlay #1",Dilution,nr_of_Events,nr_of_Events_V1,nr_of_Events_V2,nr_of_Events_V3,nr_of_total_viral,Concentration_total,Concentration_V1,Concentration_V2,Concentration_V3,Concentration_All_viral
CU18_550,Virus,2018,11,28,21;00,21,Experiment,Coral_Turf,1,10,0,2,vi190220.020,CU18_550_10x,10,44085,23130,10797,2388,36315,9583695.652,5028260.87,2347173.913,519130.4348,7894565.217
CU18_551,Virus,2018,11,28,21;00,21,Experiment,Coral_Turf,2,11,0,2,vi190220.040,CU18_551_10x,10,49125,25878,11755,2473,40106,10679347.83,5625652.174,2555434.783,537608.6957,8718695.652
CU18_552,Virus,2018,11,28,21;00,21,Experiment,Coral_Turf,3,12,0,2,vi190220.042,CU18_552_10x,10,48675,24532,11708,2503,38743,10581521.74,5333043.478,2545217.391,544130.4348,8422391.304
CU18_553,Virus,2018,11,28,21;00,21,Experiment,Turf,1,13,0,2,vi190220.043,CU18_553_100x,100,41790,19822,10189,2157,32168,90847826.09,43091304.35,22150000,4689130.435,69930434.78
CU18_554,Virus,2018,11,28,21;00,21,Experiment,Turf,2,14,0,2,vi190220.046,CU18_554_10x,10,34920,13099,10248,2499,25846,7591304.348,2847608.696,2227826.087,543260.8696,5618695.652
CU18_555,Virus,2018,11,28,21;00,21,Experiment,Turf,3,15,0,2,vi190220.047,CU18_555_100x,100,7635,4529,1403,254,6186,16597826.09,9845652.174,3050000,552173.913,13447826.09
CU18_556,Virus,2018,11,28,21;00,21,Control,Control,1,16,0,2,vi190220.050,CU18_556_10x,10,42165,20277,12305,3229,35811,9166304.348,4408043.478,2675000,701956.5217,7785000
CU18_557,Virus,2018,11,28,21;00,21,Control,Control,2,17,0,2,vi190220.051,CU18_557_100x,100,7545,4246,1925,428,6599,16402173.91,9230434.783,4184782.609,930434.7826,14345652.17
CU18_558,Virus,2018,11,28,21;00,21,Control,Control,3,18,0,2,vi190220.054,CU18_558_10x,10,41505,21390,11409,2862,35661,9022826.087,4650000,2480217.391,622173.913,7752391.304
CU18_577,Virus,2018,11,29,02;00,28,Experiment,Dictyota,1,1,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.076,CU18_177_10x,10,40065,20551,8095,1736,30382,8709782.609,4467608.696,1759782.609,377391.3043,6604782.609
CU18_578,Virus,2018,11,29,02;00,28,Experiment,Dictyota,2,2,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.078,CU18_178_100x,100,7350,4801,1214,232,6247,15978260.87,10436956.52,2639130.435,504347.8261,13580434.78
CU18_579,Virus,2018,11,29,02;00,28,Experiment,Dictyota,3,3,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.080,CU18_179_100x,100,6165,3879,1171,156,5206,13402173.91,8432608.696,2545652.174,339130.4348,11317391.3
CU18_580,Virus,2018,11,29,02;00,28,Experiment,Coral_Dictyota,1,4,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.082,CU18_180_100x,100,6885,4317,1286,250,5853,14967391.3,9384782.609,2795652.174,543478.2609,12723913.04
CU18_581,Virus,2018,11,29,02;00,28,Experiment,Coral_Dictyota,2,5,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.085,CU18_181_10x,10,47745,25863,9979,2421,38263,10379347.83,5622391.304,2169347.826,526304.3478,8318043.478
CU18_582,Virus,2018,11,29,02;00,28,Experiment,Coral_Dictyota,3,6,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.087,CU18_182_10x,10,47835,27128,9714,2317,39159,10398913.04,5897391.304,2111739.13,503695.6522,8512826.087
CU18_583,Virus,2018,11,29,02;00,28,Experiment,Coral,1,7,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.089,CU18_183_10x,10,52155,30005,11905,2901,44811,11338043.48,6522826.087,2588043.478,630652.1739,9741521.739
CU18_584,Virus,2018,11,29,02;00,28,Experiment,Coral,2,8,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.090,CU18_184_100x,100,13455,8790,2713,489,11992,29250000,19108695.65,5897826.087,1063043.478,26069565.22
CU18_585,Virus,2018,11,29,02;00,28,Experiment,Coral,3,9,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.093,CU18_185_10x,10,48270,30317,9804,2085,42206,10493478.26,6590652.174,2131304.348,453260.8696,9175217.391
CU18_586,Virus,2018,11,29,02;00,28,Experiment,Coral_Turf,1,10,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.112,CU18_586_100x,100,9615,5670,1419,255,7344,20902173.91,12326086.96,3084782.609,554347.8261,15965217.39
CU18_587,Virus,2018,11,29,02;00,28,Experiment,Coral_Turf,2,11,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.114,CU18_587_100x,100,7125,4525,1162,214,5901,15489130.43,9836956.522,2526086.957,465217.3913,12828260.87
CU18_588,Virus,2018,11,29,02;00,28,Experiment,Coral_Turf,3,12,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.117,CU18_588_10x,10,44940,27201,8499,1910,37610,9769565.217,5913260.87,1847608.696,415217.3913,8176086.957
CU18_589,Virus,2018,11,29,02;00,28,Experiment,Turf,1,13,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.118,CU18_589_100x,100,10785,8396,1057,186,9639,23445652.17,18252173.91,2297826.087,404347.8261,20954347.83
CU18_590,Virus,2018,11,29,02;00,28,Experiment,Turf,2,14,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.121,CU18_590_10x,10,39330,21751,7374,1539,30664,8550000,4728478.261,1603043.478,334565.2174,6666086.957
CU18_591,Virus,2018,11,29,02;00,28,Experiment,Turf,3,15,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.123,CU18_591_10x,10,38310,15972,9893,2431,28296,8328260.87,3472173.913,2150652.174,528478.2609,6151304.348
CU18_592,Virus,2018,11,29,02;00,28,Control,Control,1,16,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.125,CU18_592_10x,10,42630,22150,10920,3149,36219,9267391.304,4815217.391,2373913.043,684565.2174,7873695.652
CU18_593,Virus,2018,11,29,02;00,28,Control,Control,2,17,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.127,CU18_593_10x,10,49695,24845,12863,3657,41365,10803260.87,5401086.957,2796304.348,795000,8992391.304
CU18_594,Virus,2018,11,29,02;00,28,Control,Control,3,18,"1 mL + fixative; sample taken slight before 2 AM, put in fridge 02:38 and fixed at 3.36",2,vi190220.129,CU18_594_10x,10,45960,25267,11442,3169,39878,9991304.348,5492826.087,2487391.304,688913.0435,8669130.435
